Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	country
4	3	1	4	4	3	2	4	3	4	4	4	US
1	4	4	2	4	4	4	3	4	3	3	2	US
2	1	1	4	2	4	2	1	4	1	2	4	US
2	2	2	2	4	2	4	4	4	4	2	1	CA
2	4	4	2	2	3	4	4	3	4	4	4	AU
3	2	3	1	3	2	2	2	1	2	2	3	US
4	1	4	2	2	3	3	2	1	1	4	2	CA
1	3	1	2	4	1	1	3	4	2	2	2	US
4	3	4	4	4	4	3	4	3	4	4	4	US
1	3	1	2	4	1	2	1	4	4	4	4	ZA
3	3	1	3	3	1	3	1	3	4	1	3	US
3	2	1	3	3	1	2	4	4	4	2	3	US
3	2	4	2	2	4	2	2	4	2	2	2	CA
1	3	1	1	2	1	1	1	1	4	2	2	MX
3	3	1	1	1	1	2	1	1	3	1	1	US
2	2	4	1	2	1	3	1	4	1	1	2	CA
4	3	1	4	4	4	2	4	1	4	4	3	US
1	3	4	1	4	2	3	1	1	2	1	4	US
4	3	4	4	2	3	2	4	4	4	4	4	US
4	2	4	2	4	2	2	2	1	2	4	2	US
1	3	1	3	4	4	4	4	3	4	2	3	US
4	3	4	2	2	4	2	4	3	4	4	3	AU
4	1	4	4	3	4	2	4	3	4	4	4	US
1	3	1	3	4	4	4	4	3	4	2	3	US
3	2	4	2	1	1	2	1	1	4	4	2	US
3	2	2	4	2	4	4	3	4	1	1	2	US
4	2	4	4	4	3	2	4	4	2	2	4	NZ
3	3	1	1	1	3	2	2	3	4	1	2	US
1	3	4	1	2	1	1	1	1	2	2	2	PH
4	2	1	4	4	4	2	4	3	4	4	1	US
3	1	4	3	4	3	2	2	1	2	3	1	BD
4	4	3	4	2	4	3	2	1	1	4	4	US
3	3	1	3	4	3	4	2	4	1	3	4	CA
1	4	4	2	1	1	4	3	1	2	4	2	AR
2	2	2	4	2	4	2	4	4	2	4	2	NZ
1	3	1	1	2	2	2	2	1	3	2	2	US
4	2	4	4	3	2	2	4	3	2	4	3	GB
4	3	4	2	4	4	3	2	3	2	4	1	US
1	2	3	1	1	2	2	3	1	2	1	1	BH
2	2	3	3	2	3	2	3	4	4	2	2	US
2	4	1	2	1	1	2	1	4	3	2	2	GB
1	2	3	2	1	1	4	3	1	2	1	1	AR
1	3	4	2	1	4	4	3	2	3	4	3	SG
1	1	1	2	4	1	1	2	1	2	3	2	US
1	1	4	2	2	1	1	3	4	1	4	1	US
3	3	2	4	1	1	2	4	1	2	1	1	BD
3	4	3	4	3	3	4	2	3	1	4	4	US
1	3	4	2	2	3	2	3	1	4	3	2	AU
4	1	1	4	1	4	1	2	1	3	2	2	BE
1	1	1	4	2	1	4	3	1	3	1	1	SG
2	2	4	2	4	2	2	4	4	2	2	1	US
4	3	3	2	2	4	3	3	3	1	3	4	US
1	1	1	2	2	3	2	4	3	4	2	2	US
4	3	4	4	4	4	4	2	1	4	4	4	GE
1	3	1	4	4	1	4	3	1	3	4	4	US
4	1	2	4	2	4	1	2	4	1	4	2	GB
