"gender","age","S1","S2","S3","S4","S5","S6","EX","NR","OP","AG","CN"
2,41,"the unfamiliar","is all in one's attiude","are to be treated with loyaly","are to betreated with loyalty","of the world is found hidden in small things","perseverence ",2.3,1.7,4.4,3.7,2.3
2,19,"until you talk to them by your self","is completly based on love and care","are caring","are better halfs","girls boys cant afford","not in love",4.4,3.3,4.2,4.1,3.6
1,19,"a stranger","is that we can smile everyday","make me feel so happy","are so good to me","a person is that they have a kind heart","love is fine for me",3,3.2,2.9,3.8,3.5
2,19,"a stranger.","will begin tomorrow.","in arms.","in law.","life.","love.",1.2,2.2,3.8,2.6,2.6
1,21,"any stranger","is what with whom you are satisfied","are the real part of life","beauty of life","life is love","don't lack with your responsibilities.",2.9,2.5,3.3,3.6,3.5
2,44,"anyone with your secrets","is as good as you make it - you are responsible for your own happiness","are pests when you are small but the best friends when you are big","are the closest thing you can get to a best friend","nature as God made it and everything has its own perfect place","not giving up is the first step to success",2,3.8,3.4,2.8,3.6
2,39,"Big business","Is mine","Are smart, witty, ingenious, caring and helpful--invaluable!   Mine is the best one around. ","Are not genetic but still feel so close and understand like noone else","Dawn is something I don't want to miss","The chance to gain it all back",3.2,3.8,4.1,4.9,3.1
2,20,"my friends"," is that which is free of all problems","i dont have any brother","I love my sister and helped her in every matter","my life is my parents and family","not my siblings",2.8,3.7,3,3.4,2
2,50,"ones enemies","is to give ","are to be loved ","are to be loved ","nature","love",3,4.8,4.5,4.3,3.9
1,30,"people who lie","close family and freinds","should be your best freinds","teach you about women","people is within","love",2.7,3.7,3.3,3.6,2.7
2,22,"an unchallenged idea.","is contentment.","are good to have as a sibling.","are also good to have as siblings.","beauty is inherent.","reflection one can find some happiness.",4.2,2.4,4.1,4.7,3.3
2,20,"others","is fun","boys","girls","nature","up",3,3.8,4.2,2.9,3.7
1,30,,,,,,,4,3.4,4.6,3.2,3.7
1,57,"a known liar","for some people never comes","love to argue and fight when young","can driv you up a wall, but you love them anyways","a person is sometimes hard to find from all the negativity displayed","the clothes on their back",2.6,3.3,4,4,2.4
2,53,"politicians","Life is good",,,"nature","ideas",1.4,3.8,4.3,4.1,4.4
2,20,"anyone with money","is when you are not afraid of being passionate","and sisters.","unite!","destruction","brain",4.6,3,5,3.5,2.1
1,22,"authority.","is value filled.","are male siblings.","are female siblings.","the cosmos is huge.","certainty.",1.5,1.9,4.4,2.8,3.2
1,54,"blind authority.","is loving others.","should get along.","should get along.","nature is wonderful.","persisting is important.",2.4,2.3,4.5,4.3,3
1,20,"people you don't know",,,,,,4,1.8,4.2,4.7,3.5
2,41,"someone with a track record of not following through","varies widely for different people",,"are wonderful","life is connecting with others and oneself",,2.8,3.8,4.8,4.7,4.8
2,38,"strangers","is possible with hard work","sound nice","sound nice","the woods","ambition",3.6,1.8,5,5,4.8
2,42,"an answer they received from an unreliable source.","is about being happy with what you have instead of spending all you time wanting for whqt you don't.","are people in your life that teach you lessons you will use in every other relationship.","are the closest to a mothering relationship that you can have without being a mother.","life is that you choose who to spend it with.","regret is a way to cope with anythi.g that comes your way.",4.6,3,4.3,4.5,3.9
2,20,"someone who doesn't deserve it or has given you reason not to trust them before","is what everyone should strive to live","i love mine","i wish i had one","life is found out with time","purpose",3.9,3.2,4,4.3,3.8
2,24,"a spy","is sitting in the sun with a good beer","I love","I never had","the mountains in Colorado keeps taking my breath away","music could still make me happy",4.2,2.7,4.3,3.5,4
1,53,"something that is too good to be true.","is family","help brothers.","I don't have any.","life is making others smile.","integraty will make your life happy.",4.6,4.8,4.3,5,4.2
2,48,"liars","is here and now","in blood","of mercy","a unique thought","imagination",3.2,3,4,3.8,3.1
2,39,"used car salesmen","is freedom","have their own lives","meddle","solitude","the best of intentions",2.4,1,4.4,3.5,3.6
1,52,"those cannot look you in the eye","is for everyone","can be like sisters","can be like brothers","life is hard to see","enjoying all",3.5,3.4,3.6,4,3
1,24,"those in power","undefinable","keeper","older","nothing","motivation",1.6,2.4,4.5,1.9,4.1
2,19,"people who are huge liars.","can be anyones life. ","are rough, but are good as a family member","are supportive, but are good as a family member. ","life is there is something good to everything.","nothing.",2.4,4.4,3.6,4.9,3.1
2,23,"strangers. ","goes on.","are brave.","are needy.","spring flowers are breathless. ","integrity. ",3.8,2.5,3.7,3.8,3.4
1,22,"self doubt","is enjoying yourself","are best friends","can be trusted","living day to day","the answers",3.8,2.6,4.2,3.7,2.7
2,20,,,,,,,3.9,3.3,3.8,3.6,4.1
2,18,"a liar","is what you make of it","are special","are best friends","sog and dance captivates me","age",4.4,4.2,3.6,4.5,3.4
