submittime,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
2015-03-30 15:08:02,49,100,55,300,10,124,10,25,10,80,85,10,6,700,10,700,3,10,88,40,3,3,3,3,3,3,3,3,3,3,5,2,5,2,4,4,3,3,4,1,2,4,3,3,3,4,2,3,2,2,5,3,4,3,3,1,3,3,5,3,1,4,4,5,3,3,1,1,3,3
2015-03-30 15:11:26,33,100,55,103,56,540,33,45,32,130,85,50,6,700,45,700,2,53,3250,40,3,1,5,1,5,2,5,2,4,4,4,3,5,2,3,4,3,2,3,2,5,5,1,5,2,5,1,2,5,4,4,1,5,1,5,5,5,2,5,4,2,2,5,3,5,1,4,3,3,5
2015-03-30 15:09:03,77,77,81,81,81,81,81,71,71,65,85,71,7,601,71,0,2,71,78,31,3,3,3,3,3,3,2,4,3,3,3,2,3,2,1,2,2,1,2,1,2,4,1,3,2,2,2,4,2,3,5,3,4,3,2,3,3,0,3,3,5,2,3,2,5,3,4,5,5,5
2015-03-30 19:38:53,46,489,76,109,89,576,28,27,48,100,88,67,7,608,68,700,3,67,100,44,2,4,4,4,4,2,2,4,2,5,4,4,4,2,2,4,4,4,2,2,1,5,1,5,1,5,1,5,5,4,4,4,2,4,2,4,4,3,4,3,4,2,5,1,4,1,4,4,5,5
2015-03-30 15:13:14,7,77,69,101,99,100,99,9,77,130,88,7,6,700,50,700,3,2,4011,45,4,1,5,1,5,1,5,4,2,1,2,5,1,5,2,3,4,3,3,1,2,5,1,5,1,5,1,3,3,5,2,4,3,3,1,5,3,3,1,3,3,3,3,1,3,3,4,3,2,3
2015-03-30 15:18:35,77,456,77,400,77,1233,77,47,77,77,87,77,7,700,77,700,3,77,700,47,3,1,5,1,5,1,5,2,5,1,2,2,4,4,3,2,2,1,2,2,1,5,2,5,1,3,1,5,4,4,5,1,5,1,4,1,5,1,5,5,3,1,3,1,4,4,5,4,3,5
2015-03-30 15:22:08,50,100,55,250,50,666,50,30,50,120,81,54,7,652,41,699,3,65,3000,40,3,3,5,2,5,3,5,4,2,3,1,5,3,0,4,2,3,2,2,1,3,3,1,3,3,3,2,3,3,5,3,1,5,4,3,3,1,3,3,3,3,1,3,3,4,1,3,3,2,3
2015-03-30 15:25:03,50,500,70,300,50,1000,55,21,50,70,86,56,6,700,57,700,3,58,4000,56,1,3,5,5,5,5,5,5,0,0,1,3,3,4,3,2,1,0,0,1,1,5,1,5,1,5,1,5,0,0,1,1,5,1,5,1,5,0,0,1,1,5,5,5,5,1,5,0,0,5
2015-03-30 15:27:39,56,174,52,459,99,1111,98,47,21,72,85,50,7,750,45,650,3,24,3872,45,3,2,3,2,4,2,2,2,4,4,5,4,4,4,3,4,4,4,4,4,1,4,3,4,1,4,1,4,4,4,3,4,2,4,1,4,3,2,3,3,4,3,5,3,4,1,3,3,3,4
2015-03-30 15:37:37,50,500,76,250,50,780,50,43,50,80,85,50,55,700,50,700,2,50,2010,45,3,3,3,3,3,3,4,4,4,5,4,2,5,2,4,5,5,4,5,2,4,3,3,2,4,3,3,4,3,3,2,2,4,2,2,3,3,3,3,3,2,3,4,3,4,2,4,2,2,3
2015-03-30 15:30:39,2,300,55,226,6,156,90,46,74,70,85,20,6,700,50,700,3,99,78,31,3,5,4,5,2,1,3,5,1,5,5,5,5,1,5,5,4,4,5,5,1,5,1,5,1,5,1,5,5,5,4,4,5,5,1,5,3,3,3,5,5,1,5,1,5,1,5,5,5,5
2015-03-30 15:33:08,44,326,52,224,88,123,4,18,35,129,82,73,8,700,84,793,2,31,3272,34,4,5,4,5,2,5,4,4,2,4,1,5,4,2,2,2,2,1,2,2,1,5,2,5,1,5,2,5,5,4,2,5,4,2,2,4,3,2,4,3,4,1,2,1,4,4,4,4,2,3
2015-03-30 15:34:35,2,2,55,200,50,124,2,8,2,70,85,2,6,700,2,700,3,2,80,50,2,3,3,3,3,2,2,5,1,5,4,4,4,5,3,2,2,2,4,2,3,2,1,4,3,1,5,5,2,1,4,4,5,1,2,1,5,3,4,5,3,1,5,1,2,1,4,2,3,3
2015-03-30 15:35:28,82,777,54,238,83,985,43,8,35,97,88,74,7,700,59,799,2,45,3562,33,3,4,4,4,3,3,3,4,3,5,5,4,5,3,1,2,2,2,1,2,4,5,1,5,4,4,2,4,4,3,3,3,5,4,2,2,4,4,2,4,3,2,4,5,4,4,3,3,4,4
2015-03-30 15:32:53,97,890,55,150,69,1200,20,23,58,78,89,35,7,770,79,700,3,29,1098,46,1,3,3,3,4,5,2,5,1,3,2,3,5,1,3,3,2,1,4,1,4,4,2,5,1,5,1,3,5,4,3,3,4,2,3,4,4,2,4,5,2,4,3,3,4,1,4,1,3,3
2015-03-30 15:36:25,64,4286,88,264,55,898,38,17,88,120,86,75,6,700,45,640,2,98,420,46,3,1,5,2,4,1,3,2,3,2,3,3,3,3,2,4,4,3,4,3,1,5,1,4,1,5,1,5,4,3,3,2,4,2,2,2,3,2,3,4,3,3,3,2,3,3,5,3,4,4
2015-03-30 15:34:28,55,2055,55,499,55,500,55,45,55,120,85,55,6,700,55,700,2,55,155,50,5,1,3,3,4,1,4,3,5,3,3,3,3,3,3,3,3,3,3,3,1,5,3,5,4,3,3,3,4,3,5,3,5,4,2,1,4,2,2,5,5,1,1,1,5,2,5,5,5,5
2015-03-30 15:36:46,5,55,77,467,7,125,88,145,67,127,86,37,5,700,29,657,3,67,345,56,4,2,3,3,4,2,5,4,2,4,4,2,5,3,3,3,3,2,2,2,1,5,2,5,2,4,2,4,5,3,3,1,4,2,3,2,5,2,5,4,5,1,5,2,3,5,3,4,4,4
2015-03-30 15:40:43,23,784,45,101,9,1233,99,45,62,100,88,55,7,602,89,654,3,7,367,34,5,1,3,1,5,1,5,1,4,3,5,3,5,1,3,4,3,3,4,1,5,5,1,5,1,5,1,5,4,3,4,1,4,2,2,1,4,3,4,3,3,2,5,1,4,1,3,2,4,5
2015-03-30 15:42:48,99,555,65,250,50,124,55,8,99,75,85,50,6,700,2,601,3,44,3127,50,1,3,3,4,3,2,2,4,2,3,4,2,4,2,3,4,4,3,4,3,1,4,1,5,2,5,2,4,4,2,4,2,4,1,5,1,5,1,4,4,4,1,4,1,4,3,5,3,5,4
2015-03-30 15:57:13,50,2,77,400,6,124,7,9,8,130,85,99,7,700,89,655,3,49,3000,59,1,4,2,5,2,3,1,4,1,4,5,3,4,2,4,3,3,3,3,3,1,4,3,5,2,3,2,4,4,3,3,2,3,2,3,4,2,1,4,3,3,2,4,2,3,2,3,3,5,3
2015-03-30 15:53:03,44,785,57,200,26,323,66,30,96,133,87,13,7,799,88,727,3,77,3025,45,2,3,2,4,2,1,1,4,2,4,5,2,5,1,3,5,5,5,5,5,2,3,5,4,3,4,2,2,5,3,2,5,3,5,1,5,3,4,2,3,3,3,5,2,4,1,3,3,5,5
2015-03-30 15:53:15,20,100,50,300,10,1200,16,40,5,70,88,20,7,700,25,750,3,20,400,35,3,2,3,5,3,2,2,4,2,3,2,2,3,2,4,3,4,2,4,2,2,5,2,4,2,5,2,4,4,4,3,2,4,2,4,2,4,2,4,2,4,2,3,4,4,2,3,4,4,2
2015-03-30 15:56:54,5,950,50,255,85,1000,50,10,90,100,85,55,7,700,51,750,3,50,4000,35,4,3,5,1,2,1,2,1,5,1,1,2,2,2,1,5,2,1,5,1,3,4,1,2,2,2,2,5,1,5,3,1,5,2,4,2,5,1,3,5,2,1,5,1,5,1,5,1,5,5
